epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6765,2.28643,3.81965,1.58436,0.46867,0.35955,0.34571,0.12546,2.12233,2.22027,1.56826,0.000369376,0.000369376,0.000369376
2,32.4802,2.10481,2.48175,1.48696,0.3857,0.40429,0.39961,0.15967,2.07856,2.1335,1.64488,0.000703094,0.000703094,0.000703094
3,47.913,2.06783,2.08291,1.49168,0.47975,0.46768,0.46073,0.17875,2.01328,1.9404,1.59316,0.00100015,0.00100015,0.00100015
4,63.2737,2.02982,1.87752,1.47425,0.5533,0.53305,0.53974,0.22315,1.95115,1.66095,1.57305,0.000946016,0.000946016,0.000946016
5,78.5421,2.00676,1.77315,1.45833,0.53561,0.54292,0.55299,0.20637,2.05024,1.67278,1.62525,0.000891022,0.000891022,0.000891022
6,93.6829,1.96864,1.70273,1.43122,0.69278,0.63072,0.67339,0.27636,1.89691,1.42606,1.52955,0.000836027,0.000836027,0.000836027
7,108.959,1.94098,1.59711,1.41624,0.66346,0.59377,0.63005,0.23556,2.08068,1.53539,1.61573,0.000781033,0.000781033,0.000781033
8,124.187,1.92686,1.5476,1.40284,0.74831,0.66166,0.72977,0.30098,1.89173,1.36149,1.50481,0.000726038,0.000726038,0.000726038
9,139.419,1.89719,1.52687,1.39255,0.70998,0.64077,0.71443,0.30024,1.89962,1.37349,1.51969,0.000671044,0.000671044,0.000671044
10,154.626,1.89286,1.4704,1.39773,0.74728,0.66533,0.73313,0.29891,1.91114,1.33652,1.53365,0.000616049,0.000616049,0.000616049
11,170.195,1.85561,1.35404,1.48843,0.74422,0.69354,0.75739,0.32518,1.84689,1.29594,1.50182,0.000561055,0.000561055,0.000561055
12,185.55,1.83468,1.29745,1.47605,0.7737,0.71738,0.78012,0.3246,1.92448,1.26742,1.52363,0.00050606,0.00050606,0.00050606
13,199.972,1.82234,1.25019,1.46879,0.81194,0.71344,0.80535,0.34655,1.84104,1.19689,1.48552,0.000451066,0.000451066,0.000451066
14,214.392,1.80923,1.2197,1.46541,0.82031,0.72184,0.8011,0.34369,1.84366,1.19036,1.49097,0.000396071,0.000396071,0.000396071
15,229.106,1.79932,1.19121,1.44464,0.82972,0.74943,0.82388,0.36285,1.82442,1.15478,1.46041,0.000341077,0.000341077,0.000341077
16,243.951,1.79366,1.15896,1.43653,0.83486,0.74661,0.82547,0.36184,1.83076,1.16362,1.45574,0.000286083,0.000286083,0.000286083
17,258.63,1.76693,1.13213,1.42854,0.82043,0.76532,0.82693,0.37309,1.80141,1.1366,1.45069,0.000231088,0.000231088,0.000231088
18,273.399,1.75457,1.12174,1.41951,0.84769,0.77012,0.8379,0.37147,1.82068,1.10694,1.44293,0.000176094,0.000176094,0.000176094
19,287.836,1.75001,1.08807,1.41058,0.84812,0.78235,0.84864,0.38271,1.80437,1.08403,1.4405,0.000121099,0.000121099,0.000121099
20,302.293,1.73584,1.07013,1.3998,0.85248,0.78745,0.8517,0.38433,1.80785,1.07178,1.43255,6.61045e-05,6.61045e-05,6.61045e-05
