epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1263,1.3633,2.96638,1.44477,0.68927,0.6307,0.68165,0.46017,1.0398,1.29067,1.19434,0.000195542,0.000195542,0.000195542
2,33.7049,1.32816,1.80286,1.41463,0.72836,0.70095,0.75444,0.44829,1.33604,1.17779,1.34402,0.00038379,0.00038379,0.00038379
3,49.5823,1.31795,1.59579,1.38685,0.72217,0.72597,0.76992,0.50557,1.04645,1.00829,1.18628,0.000564275,0.000564275,0.000564275
4,65.2507,1.31272,1.43132,1.37106,0.76921,0.75711,0.81227,0.52772,1.01896,0.89348,1.14231,0.000553073,0.000553073,0.000553073
5,80.7985,1.25865,1.31698,1.3397,0.79759,0.7759,0.83101,0.55826,0.97174,0.85454,1.14921,0.00054143,0.00054143,0.00054143
6,96.3276,1.24233,1.2145,1.32464,0.77914,0.82923,0.8482,0.58216,0.95888,0.74921,1.11217,0.000529788,0.000529788,0.000529788
7,111.829,1.21291,1.13873,1.30928,0.8153,0.80981,0.86493,0.59323,0.91007,0.69337,1.09309,0.000518146,0.000518146,0.000518146
8,127.251,1.19696,1.08648,1.29249,0.82364,0.81148,0.86942,0.59843,0.9385,0.70665,1.09523,0.000506503,0.000506503,0.000506503
9,142.884,1.18942,1.05507,1.29184,0.84066,0.82346,0.86396,0.61237,0.90396,0.66687,1.07888,0.000494861,0.000494861,0.000494861
10,158.475,1.17842,1.02266,1.27951,0.87208,0.83469,0.89812,0.63625,0.87006,0.60493,1.06442,0.000483218,0.000483218,0.000483218
11,174.366,1.16312,0.97584,1.2685,0.82816,0.85998,0.89598,0.643,0.85079,0.59605,1.04156,0.000471576,0.000471576,0.000471576
12,190.356,1.14373,0.96589,1.2631,0.85008,0.85595,0.90214,0.65434,0.85037,0.59018,1.05341,0.000459934,0.000459934,0.000459934
13,206.357,1.1346,0.93377,1.25167,0.86716,0.82022,0.88741,0.63637,0.8389,0.59781,1.03365,0.000448291,0.000448291,0.000448291
14,222.352,1.12165,0.90365,1.24164,0.87299,0.85025,0.89796,0.65238,0.83492,0.56759,1.04341,0.000436649,0.000436649,0.000436649
15,238.125,1.1107,0.88947,1.23822,0.87527,0.87864,0.91649,0.66439,0.82967,0.54434,1.03067,0.000425006,0.000425006,0.000425006
16,253.864,1.07944,0.86353,1.22913,0.88117,0.84877,0.91245,0.67332,0.80764,0.5358,1.02319,0.000413364,0.000413364,0.000413364
