epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.07099,1.38892,3.42034,1.26174,0.36315,0.12664,0.19068,0.10988,1.3881,3.07583,1.24044,0.000299435,0.000299435,0.000299435
2,7.7747,1.45363,2.50701,1.3201,0.26911,0.36339,0.24008,0.12764,1.56364,2.31183,1.40649,0.000590507,0.000590507,0.000590507
3,11.205,1.49491,2.31093,1.33755,0.29565,0.27279,0.22926,0.1153,1.6165,2.42611,1.4794,0.00086958,0.00086958,0.00086958
4,14.5644,1.46778,2.26662,1.3302,0.3859,0.37493,0.30391,0.14976,1.63092,2.14314,1.46873,0.000855005,0.000855005,0.000855005
5,17.9372,1.46141,2.10371,1.32647,0.35115,0.39833,0.33292,0.18538,1.55792,2.04988,1.39931,0.000837007,0.000837007,0.000837007
6,21.323,1.40136,2.00901,1.2801,0.38945,0.33994,0.32837,0.18909,1.53069,2.03574,1.4295,0.000819009,0.000819009,0.000819009
7,24.6913,1.38809,1.93686,1.26038,0.39998,0.36004,0.34938,0.20228,1.53708,2.02443,1.46054,0.000801011,0.000801011,0.000801011
8,28.0653,1.34462,1.83691,1.24218,0.36303,0.4319,0.38743,0.22643,1.44717,1.82832,1.32471,0.000783013,0.000783013,0.000783013
9,31.4808,1.33996,1.7714,1.23787,0.40248,0.45165,0.39266,0.22787,1.49068,1.84458,1.30368,0.000765014,0.000765014,0.000765014
10,34.904,1.34723,1.7721,1.24662,0.41453,0.49276,0.41151,0.23994,1.45284,1.76553,1.30234,0.000747016,0.000747016,0.000747016
11,38.2847,1.30472,1.64467,1.21457,0.53195,0.46566,0.47114,0.28826,1.43654,1.69259,1.31794,0.000729018,0.000729018,0.000729018
12,41.6267,1.30707,1.66797,1.21914,0.45227,0.43029,0.42526,0.25703,1.4567,1.7434,1.30601,0.00071102,0.00071102,0.00071102
13,44.9829,1.29135,1.59882,1.20727,0.55663,0.4386,0.48835,0.29466,1.39331,1.69629,1.25565,0.000693022,0.000693022,0.000693022
14,48.4012,1.28681,1.56823,1.21056,0.67271,0.43886,0.54219,0.33625,1.35252,1.4653,1.24652,0.000675023,0.000675023,0.000675023
15,51.7348,1.24891,1.53129,1.18772,0.51211,0.54449,0.52009,0.32519,1.36988,1.68026,1.26142,0.000657025,0.000657025,0.000657025
16,55.1263,1.24752,1.47881,1.19235,0.62478,0.51667,0.5696,0.35219,1.35645,1.5058,1.23418,0.000639027,0.000639027,0.000639027
17,58.5327,1.21983,1.43778,1.17674,0.5646,0.52776,0.52282,0.32961,1.38757,1.53956,1.2454,0.000621029,0.000621029,0.000621029
18,61.8968,1.23106,1.4281,1.18557,0.65696,0.52137,0.58197,0.36469,1.34977,1.44448,1.23724,0.000603031,0.000603031,0.000603031
19,65.2753,1.22676,1.38879,1.17148,0.62553,0.54159,0.56801,0.35025,1.34149,1.45139,1.23188,0.000585032,0.000585032,0.000585032
20,68.5456,1.2206,1.35528,1.17372,0.57136,0.58647,0.58815,0.3685,1.34736,1.4103,1.24017,0.000567034,0.000567034,0.000567034
21,71.9139,1.21142,1.34936,1.17315,0.53109,0.61569,0.54885,0.34062,1.33212,1.41267,1.21306,0.000549036,0.000549036,0.000549036
22,75.3035,1.18584,1.32197,1.15,0.67967,0.51624,0.59212,0.3825,1.34301,1.40661,1.23092,0.000531038,0.000531038,0.000531038
23,78.6652,1.18469,1.28142,1.15085,0.64621,0.56453,0.596,0.36366,1.32838,1.39637,1.22753,0.00051304,0.00051304,0.00051304
24,82.1246,1.17268,1.2749,1.14092,0.62132,0.60394,0.61833,0.39199,1.36856,1.38205,1.26473,0.000495041,0.000495041,0.000495041
25,85.4971,1.15715,1.22687,1.13404,0.65571,0.53624,0.58622,0.36289,1.3548,1.40489,1.23632,0.000477043,0.000477043,0.000477043
26,88.895,1.16266,1.21428,1.13931,0.62355,0.59203,0.62568,0.40067,1.33116,1.36272,1.25796,0.000459045,0.000459045,0.000459045
27,92.2636,1.13677,1.19147,1.13067,0.67723,0.59188,0.64513,0.40778,1.34555,1.28175,1.23992,0.000441047,0.000441047,0.000441047
28,95.6096,1.13555,1.15987,1.11962,0.62319,0.5845,0.62504,0.38802,1.35517,1.35624,1.2451,0.000423049,0.000423049,0.000423049
29,99.035,1.12465,1.1628,1.11585,0.62429,0.59222,0.61805,0.38228,1.31518,1.32675,1.22287,0.00040505,0.00040505,0.00040505
30,102.423,1.10038,1.12246,1.09703,0.69257,0.59375,0.64563,0.4156,1.29718,1.32748,1.2124,0.000387052,0.000387052,0.000387052
31,105.803,1.10524,1.11481,1.10325,0.64461,0.61835,0.63124,0.40449,1.30492,1.34806,1.21586,0.000369054,0.000369054,0.000369054
32,109.193,1.09389,1.08348,1.10168,0.65971,0.59417,0.62588,0.40825,1.2865,1.2991,1.21067,0.000351056,0.000351056,0.000351056
33,112.593,1.10018,1.09363,1.10716,0.71745,0.60717,0.6573,0.41347,1.30473,1.28683,1.21638,0.000333058,0.000333058,0.000333058
34,116.004,1.08315,1.06789,1.10337,0.7213,0.60542,0.67277,0.43295,1.28806,1.23153,1.20253,0.000315059,0.000315059,0.000315059
35,119.361,1.07493,1.02794,1.0857,0.6576,0.58582,0.64633,0.42033,1.28467,1.25902,1.20597,0.000297061,0.000297061,0.000297061
36,122.706,1.06726,1.02269,1.08331,0.67078,0.63526,0.68648,0.44001,1.28194,1.23936,1.19836,0.000279063,0.000279063,0.000279063
37,126.099,1.05123,1.01094,1.08074,0.72826,0.62725,0.67354,0.43098,1.2606,1.22558,1.17717,0.000261065,0.000261065,0.000261065
38,129.51,1.02576,0.98195,1.07689,0.74445,0.59758,0.66805,0.42482,1.29739,1.25792,1.21051,0.000243067,0.000243067,0.000243067
39,132.981,1.03861,0.97957,1.07505,0.65848,0.64673,0.68003,0.44123,1.27337,1.20182,1.19452,0.000225068,0.000225068,0.000225068
40,136.339,1.02096,0.95293,1.05457,0.76886,0.60997,0.69021,0.443,1.28606,1.23238,1.18317,0.00020707,0.00020707,0.00020707
41,140.157,0.95616,0.83687,1.02089,0.67243,0.61279,0.6388,0.40915,1.26874,1.27809,1.1887,0.000189072,0.000189072,0.000189072
42,143.504,0.95209,0.79074,1.00564,0.69589,0.60182,0.67338,0.43306,1.27517,1.2442,1.18752,0.000171074,0.000171074,0.000171074
43,146.842,0.9267,0.78352,1.00023,0.77739,0.56447,0.66306,0.41951,1.29462,1.25367,1.21698,0.000153076,0.000153076,0.000153076
44,150.12,0.90067,0.74744,0.99917,0.7239,0.59534,0.6665,0.43172,1.24914,1.23441,1.18216,0.000135077,0.000135077,0.000135077
45,153.388,0.90554,0.74349,0.99231,0.68519,0.63671,0.67166,0.43808,1.23726,1.26783,1.17317,0.000117079,0.000117079,0.000117079
46,156.698,0.91305,0.72251,0.99531,0.69204,0.64185,0.65164,0.42709,1.27423,1.30563,1.19517,9.9081e-05,9.9081e-05,9.9081e-05
47,159.998,0.88661,0.70052,0.97732,0.70642,0.63355,0.68254,0.45335,1.26517,1.22102,1.18492,8.10828e-05,8.10828e-05,8.10828e-05
48,163.306,0.87451,0.69502,0.97876,0.74769,0.64066,0.68564,0.44599,1.27973,1.2251,1.20314,6.30846e-05,6.30846e-05,6.30846e-05
49,166.694,0.88049,0.68926,0.97169,0.74134,0.61552,0.67949,0.44553,1.24752,1.23117,1.18658,4.50864e-05,4.50864e-05,4.50864e-05
50,170.034,0.86705,0.67522,0.97932,0.75157,0.62154,0.68738,0.45308,1.25803,1.20844,1.19986,2.70882e-05,2.70882e-05,2.70882e-05
