epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.11442,1.38892,3.42034,1.26174,0.36315,0.12664,0.19068,0.10988,1.3881,3.07583,1.24044,0.000299435,0.000299435,0.000299435
2,7.6412,1.45363,2.50701,1.3201,0.26911,0.36339,0.24008,0.12764,1.56364,2.31183,1.40649,0.000590507,0.000590507,0.000590507
3,11.0781,1.49491,2.31093,1.33755,0.29565,0.27279,0.22926,0.1153,1.6165,2.42611,1.4794,0.00086958,0.00086958,0.00086958
4,14.4903,1.46778,2.26662,1.3302,0.3859,0.37493,0.30391,0.14976,1.63092,2.14314,1.46873,0.000855005,0.000855005,0.000855005
5,17.8727,1.46141,2.10371,1.32647,0.35115,0.39833,0.33292,0.18538,1.55792,2.04988,1.39931,0.000837007,0.000837007,0.000837007
6,21.3515,1.40136,2.00901,1.2801,0.38945,0.33994,0.32837,0.18909,1.53069,2.03574,1.4295,0.000819009,0.000819009,0.000819009
7,24.7623,1.38809,1.93686,1.26038,0.39998,0.36004,0.34938,0.20228,1.53708,2.02443,1.46054,0.000801011,0.000801011,0.000801011
8,28.1521,1.34462,1.83691,1.24218,0.36303,0.4319,0.38743,0.22643,1.44717,1.82832,1.32471,0.000783013,0.000783013,0.000783013
9,31.6201,1.33996,1.7714,1.23787,0.40248,0.45165,0.39266,0.22787,1.49068,1.84458,1.30368,0.000765014,0.000765014,0.000765014
10,35.0082,1.34723,1.7721,1.24662,0.41453,0.49276,0.41151,0.23994,1.45284,1.76553,1.30234,0.000747016,0.000747016,0.000747016
11,38.4271,1.30472,1.64467,1.21457,0.53195,0.46566,0.47114,0.28826,1.43654,1.69259,1.31794,0.000729018,0.000729018,0.000729018
12,41.7986,1.30707,1.66797,1.21914,0.45227,0.43029,0.42526,0.25703,1.4567,1.7434,1.30601,0.00071102,0.00071102,0.00071102
