epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7617,1.31847,2.35896,1.49294,0.4532,0.50657,0.4055,0.26194,1.24711,1.94512,1.39562,0.000475363,0.000475363,0.000475363
2,40.8328,1.35123,2.00751,1.51987,0.3857,0.42689,0.40491,0.26551,1.22732,2.13028,1.42113,0.000904588,0.000904588,0.000904588
3,59.1897,1.37103,1.96141,1.53585,0.46101,0.48109,0.42508,0.26298,1.22575,1.81939,1.41011,0.00128665,0.00128665,0.00128665
4,77.7069,1.32092,1.86008,1.51261,0.46481,0.4915,0.47206,0.32859,1.03665,1.70001,1.30316,0.00121679,0.00121679,0.00121679
5,96.079,1.26449,1.78142,1.47576,0.53704,0.52981,0.49312,0.35203,1.02872,1.56255,1.33358,0.00114606,0.00114606,0.00114606
6,114.313,1.21649,1.71093,1.44261,0.59834,0.52649,0.5385,0.40772,0.92568,1.42702,1.23688,0.00107532,0.00107532,0.00107532
7,132.788,1.18816,1.66036,1.42787,0.56703,0.5481,0.52908,0.40371,0.89704,1.48124,1.20472,0.00100459,0.00100459,0.00100459
8,151.179,1.16186,1.61789,1.39991,0.55073,0.55875,0.53854,0.41658,0.85653,1.38627,1.17433,0.000933851,0.000933851,0.000933851
9,169.669,1.13208,1.55714,1.38633,0.58568,0.56611,0.55754,0.42605,0.84663,1.35345,1.17784,0.000863116,0.000863116,0.000863116
10,187.42,1.10773,1.52316,1.36662,0.57001,0.59282,0.55979,0.43706,0.84049,1.34854,1.14818,0.00079238,0.00079238,0.00079238
11,205.083,1.01291,1.39228,1.34301,0.61632,0.55793,0.56855,0.43967,0.83327,1.34116,1.15687,0.000721645,0.000721645,0.000721645
12,222.196,0.97588,1.33278,1.3145,0.60422,0.55368,0.56966,0.44539,0.79708,1.34749,1.12749,0.000650909,0.000650909,0.000650909
13,239.492,0.94899,1.27726,1.28987,0.57415,0.57745,0.58229,0.46233,0.77361,1.28566,1.11504,0.000580174,0.000580174,0.000580174
14,256.693,0.92009,1.24735,1.27292,0.60347,0.58522,0.59898,0.48033,0.7803,1.24227,1.11523,0.000509438,0.000509438,0.000509438
15,274.06,0.90778,1.19715,1.25099,0.61947,0.57843,0.58177,0.47005,0.75261,1.25473,1.1019,0.000438703,0.000438703,0.000438703
16,291.255,0.86927,1.1614,1.22684,0.6217,0.59363,0.61965,0.50169,0.74103,1.18892,1.08984,0.000367967,0.000367967,0.000367967
17,308.519,0.84343,1.11758,1.21332,0.59638,0.62481,0.61343,0.50207,0.71094,1.19682,1.07939,0.000297232,0.000297232,0.000297232
18,325.57,0.82442,1.07055,1.19973,0.62215,0.61254,0.62193,0.51018,0.70597,1.17799,1.08395,0.000226497,0.000226497,0.000226497
19,342.745,0.79877,1.04003,1.17805,0.63524,0.6114,0.62083,0.50932,0.69639,1.18297,1.07311,0.000155761,0.000155761,0.000155761
20,359.947,0.78265,1.0131,1.1654,0.63271,0.60461,0.62569,0.51342,0.69082,1.16797,1.06181,8.50255e-05,8.50255e-05,8.50255e-05
